Date_Time,Open,High,Low,Close,Volume
21-06-2019 13:05,11799.5,11800,11789.25,11791.95,37275
21-06-2019 13:10,11791.05,11806.6,11791.05,11802,43500
21-06-2019 13:15,11802.2,11804.95,11793,11793,34575
21-06-2019 13:20,11794.9,11814.2,11793.45,11813,67425
21-06-2019 13:25,11812.15,11812.95,11802,11806.75,86925
21-06-2019 13:30,11806.9,11807.5,11788.8,11792,81000
21-06-2019 13:35,11793.25,11800.45,11792,11797.55,36300
21-06-2019 13:40,11798,11806.75,11797,11805.7,47700
21-06-2019 13:45,11806,11809,11793.55,11793.75,55950
21-06-2019 13:50,11793.25,11797.9,11787.25,11789.95,43350
21-06-2019 13:55,11789.95,11789.95,11750,11754.9,605625
21-06-2019 14:00,11752.8,11755.45,11733,11735.95,494475
21-06-2019 14:05,11735.7,11752,11726.4,11744.8,246450
21-06-2019 14:10,11744.75,11755.15,11740.5,11741.05,131550
21-06-2019 14:15,11741.05,11759,11733.85,11758.05,125775
21-06-2019 14:20,11757.9,11763.15,11750,11752.35,134325
21-06-2019 14:25,11753.2,11758.9,11745,11748,102675
21-06-2019 14:30,11746.8,11758,11743.25,11754,76500
21-06-2019 14:35,11752.3,11766.45,11748,11757,118425
21-06-2019 14:40,11756.75,11769.85,11750.35,11762,106125
21-06-2019 14:45,11762,11771.3,11757,11767.25,119700
21-06-2019 14:50,11768.75,11781,11765.05,11779.75,146775
21-06-2019 14:55,11780,11798.1,11777.1,11785.95,299700
21-06-2019 15:00,11784.7,11793,11738.95,11752,407925
21-06-2019 15:05,11751.05,11753.8,11731.1,11745.65,259650
21-06-2019 15:10,11746.4,11758,11745.5,11757.7,219450
21-06-2019 15:15,11757.55,11763.9,11753.3,11757.9,214425
21-06-2019 15:20,11757.5,11762,11749,11761.5,180300
21-06-2019 15:25,11761.55,11761.55,11752.05,11754.5,398250
24-06-2019 09:15,11730.2,11782,11730.2,11760.05,336300
24-06-2019 09:20,11758.05,11758.05,11740,11747.45,249225
24-06-2019 09:25,11747.25,11765,11747.25,11764.45,106575
24-06-2019 09:30,11763.25,11766,11751.7,11755,103725
24-06-2019 09:35,11755,11755,11750.05,11753.6,43875
24-06-2019 09:40,11753.4,11754.9,11733.1,11733.9,131925
24-06-2019 09:45,11733,11735,11703.75,11711,390375
24-06-2019 09:50,11710.05,11715,11693.05,11701.9,264600
24-06-2019 09:55,11704,11717.9,11698,11715.95,125025
24-06-2019 10:00,11714.25,11716,11705,11711.6,99375
24-06-2019 10:05,11711.85,11715.7,11705,11706.25,75825
24-06-2019 10:10,11706.4,11710.75,11703.15,11706,74550
24-06-2019 10:15,11707.95,11717.5,11707.7,11717,110025
24-06-2019 10:20,11716.2,11724.7,11716,11723.75,99600
24-06-2019 10:25,11723.75,11726.5,11717,11725,94800
24-06-2019 10:30,11725,11725.2,11715.35,11717.55,46200
24-06-2019 10:35,11716,11724.5,11713.05,11718.45,46350
24-06-2019 10:40,11718.3,11718.45,11711,11711.95,131775
24-06-2019 10:45,11713.35,11720,11711,11716.35,69375
24-06-2019 10:50,11718.3,11720.8,11713.6,11718.65,64725
24-06-2019 10:55,11717,11723.7,11712.9,11713.35,101550
24-06-2019 11:00,11711.25,11713.35,11704.6,11710,59625
24-06-2019 11:05,11709,11714.35,11707.2,11712,38250
24-06-2019 11:10,11710.9,11712.85,11707.15,11710,29775
24-06-2019 11:15,11711.8,11721.8,11711.15,11716.95,50925
24-06-2019 11:20,11717,11720.5,11714,11718.95,28875
